"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.9989393793596e-06,1.60697304118705,0.262,0.121,0.035281280045697,"8","OSBP2"
2.0049828638042e-06,0.54016603378679,0.838,0.637,0.0353879475461442,"8","TPP2"
2.02348562861835e-06,0.685627807793431,0.546,0.331,0.0357145213451139,"8","PLEKHB2"
2.02512978402014e-06,0.510105486306187,0.915,0.73,0.0357435406879556,"8","LYST"
2.09289847085315e-06,1.26489638690801,0.331,0.171,0.0369396580105581,"8","C12orf45"
2.10832397748446e-06,0.538029652082184,0.762,0.568,0.0372119182026008,"8","ABL1"
2.21513700170973e-06,1.03272981304474,0.346,0.175,0.0390971680801767,"8","ELF4"
2.25397304996067e-06,0.956358463019945,0.492,0.29,0.0397826243318058,"8","PTGER4"
2.2871128814805e-06,1.11427734826634,0.292,0.138,0.0403675423581309,"8","CNEP1R1"
2.33655736196051e-06,1.02668146371317,0.5,0.314,0.0412402374386029,"8","ETF1"
2.4015348989879e-06,0.84339325920054,0.592,0.423,0.0423870909671365,"8","PRKD3"
2.42522725738966e-06,0.409395883731272,0.954,0.881,0.0428052610929275,"8","TRIP12"
2.4464432617763e-06,1.05696632535213,0.377,0.197,0.0431797235703517,"8","DCAF12"
2.50114344462699e-06,0.765344734801906,0.677,0.462,0.0441451817976664,"8","SKIL"
2.55716579265418e-06,0.872303931331952,0.738,0.554,0.0451339762403462,"8","COTL1"
2.6013682667424e-06,1.79624325576501,0.285,0.146,0.0459141499080033,"8","WLS"
2.64099246587217e-06,1.23840707938688,0.269,0.125,0.0466135170226439,"8","QSOX1"
2.66394683879233e-06,0.677330503747824,0.631,0.417,0.0470186617046847,"8","CLASRP"
2.69046346768248e-06,0.456101820141812,0.946,0.841,0.0474866802045957,"8","FBXW7"
2.74625464988154e-06,0.578351085022616,0.869,0.712,0.0484713945704093,"8","FLI1"
2.95439136687568e-06,0.864933884252902,0.569,0.389,0.0521450076253557,"8","ERO1B"
3.09196584218384e-06,0.339211386829117,0.946,0.838,0.0545731971145448,"8","NCOA3"
3.22141647171759e-06,0.617928347300671,0.562,0.336,0.0568580007258154,"8","RAP1GAP2"
3.34933501005959e-06,0.691550898720129,0.615,0.452,0.0591157629275517,"8","GTF2H1"
3.57162777378621e-06,0.722938725378631,0.438,0.244,0.0630392302073266,"8","SLC27A1"
3.72315107908551e-06,0.741238414467875,0.677,0.48,0.0657136165458593,"8","IFNGR2"
3.80525638077165e-06,0.952020126776266,0.331,0.172,0.0671627751206196,"8","SCPEP1"
3.84064838799419e-06,0.575453898096127,0.546,0.328,0.0677874440480974,"8","NAB1"
3.84495921047881e-06,0.648944131073351,0.7,0.545,0.067863530064951,"8","SRBD1"
3.95948325067693e-06,1.01820459111243,0.254,0.115,0.0698848793744478,"8","AC010542.3"
3.9929207324168e-06,0.671657755330567,0.523,0.346,0.0704750509271566,"8","ITGAV"
4.00486182637859e-06,1.00379403417408,0.415,0.247,0.0706858112355821,"8","APH1B"
4.0351019475972e-06,0.625136640579381,0.462,0.271,0.0712195493750906,"8","SPATA6"
4.25264350517265e-06,0.504048552368649,0.838,0.737,0.0750591578662972,"8","KIAA1468"
4.29182652057903e-06,0.531546125503606,0.992,0.904,0.0757507380882199,"8","FNBP1"
4.40004727750769e-06,0.525586580134577,0.877,0.687,0.0776608344480108,"8","DMXL1"
