"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00328599138658748,0.286962074820842,0.604,0.446,1,"1","NUDT4"
0.00331882982116244,0.798111533570465,0.258,0.151,1,"1","HEATR4"
0.00334762602253813,0.503134184163652,0.465,0.328,1,"1","NADK2"
0.00337123718181057,0.527929222072701,0.484,0.354,1,"1","ZNF595"
0.00339606730818499,0.630658400983594,0.34,0.218,1,"1","RGMB"
0.00340564575554912,0.385780743014304,0.553,0.397,1,"1","C5orf15"
0.00342744150095125,0.675413409628081,0.27,0.163,1,"1","ACTR3C"
0.00345534412751729,0.364094731138176,0.528,0.379,1,"1","SLC24A3"
0.00347484269878669,0.637990702555643,0.302,0.192,1,"1","C8orf44-SGK3"
0.00349344358914513,0.282028119197652,0.981,0.902,1,"1","KDM2A"
0.00349357371757549,0.418018614867868,0.484,0.349,1,"1","AGK"
0.00349814432446915,0.647839832643005,0.358,0.236,1,"1","CCDC122"
0.00351089075729739,0.945343212218994,0.277,0.174,1,"1","DNAH6"
0.00351609935660564,0.386627184722953,0.881,0.759,1,"1","FOXJ3"
0.00357358596573478,0.685751889211783,0.314,0.203,1,"1","BCL7A"
0.00357729690650818,0.441736864494242,0.371,0.236,1,"1","TALDO1"
0.00361237715582225,0.499524993947445,0.352,0.232,1,"1","RIOX2"
0.00363365141509236,0.642246559454398,0.264,0.153,1,"1","SLC1A5"
0.00368109305661436,0.326623432051985,0.799,0.636,1,"1","DOPEY1"
0.00368555511359738,0.527364168439851,0.522,0.383,1,"1","METAP1D"
0.00370643514302212,0.461975707753526,0.377,0.253,1,"1","DNAJC27"
0.00371352928788459,0.342406015009552,0.66,0.51,1,"1","SLC25A26"
0.0037194877852831,0.258649824887859,0.95,0.868,1,"1","LRMDA"
0.00373728421514466,0.409660967915878,0.686,0.559,1,"1","ATG14"
0.00382827545481641,0.344694539573598,0.742,0.636,1,"1","UBE2G2"
0.00386185458007428,0.663062911260993,0.321,0.207,1,"1","SLC9B1"
0.00398120166200027,0.489094544039671,0.459,0.32,1,"1","PARVB"
0.00400073988420021,0.54849067837054,0.44,0.322,1,"1","ACADSB"
0.00407416673644839,0.333854440247854,0.836,0.766,1,"1","RAB3GAP2"
0.00411519063571352,0.302251315805193,0.723,0.598,1,"1","RPRD1A"
0.00414792302145353,0.538036238074363,0.597,0.46,1,"1","MAP7D3"
0.00417632887109049,0.478484384350274,0.465,0.339,1,"1","PISD"
0.0042129240809631,0.268464527427094,0.642,0.513,1,"1","RAD54L2"
0.00423034119363123,0.535452819855556,0.434,0.31,1,"1","RMDN2"
0.00426614422060627,0.403429798623894,0.673,0.569,1,"1","KCTD20"
0.0043446614033305,0.332886484181436,0.956,0.941,1,"1","ZNF609"
0.00435638974894574,0.283830439224114,0.717,0.567,1,"1","SLC38A6"
0.00436374734757568,0.308954728197372,0.786,0.638,1,"1","TBC1D23"
0.00438816736662839,0.464851959443899,0.415,0.282,1,"1","ENPP3"
0.00441439837539021,0.538355020850203,0.384,0.257,1,"1","ZNF189"
0.00445462940816796,0.30723461014539,0.742,0.636,1,"1","SLC25A13"
0.00446707557244987,0.532401015186671,0.459,0.345,1,"1","AFG1L"
